Class,Baseline CNN,DenseNet121,EfficientNetB0,MobileNetV2,EfficientNetB0 + Class Weight,Best Model,Best F1
Tomato___Bacterial_spot,0.8481,0.8294,0.8772,0.8421,0.7921,EfficientNetB0,0.8772
Tomato___Early_blight,0.3871,0.4673,0.5209,0.3874,0.6564,EfficientNetB0 + Class Weight,0.6564
Tomato___Late_blight,0.8128,0.8311,0.9043,0.8561,0.8785,EfficientNetB0,0.9043
Tomato___Leaf_Mold,0.6897,0.7717,0.7654,0.7829,0.7623,MobileNetV2,0.7829
Tomato___Septoria_leaf_spot,0.7761,0.7568,0.7797,0.7821,0.734,MobileNetV2,0.7821
Tomato___Spider_mites Two-spotted_spider_mite,0.781,0.6831,0.8363,0.8263,0.7592,EfficientNetB0,0.8363
Tomato___Target_Spot,0.7642,0.6358,0.724,0.6957,0.6727,Baseline CNN,0.7642
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9335,0.9662,0.9712,0.969,0.9326,EfficientNetB0,0.9712
Tomato___Tomato_mosaic_virus,0.8142,0.6667,0.8491,0.6304,0.8209,EfficientNetB0,0.8491
Tomato___healthy,0.9426,0.8247,0.9031,0.8953,0.9268,Baseline CNN,0.9426
