Class,Model,Precision,Recall,F1-score,Support
Tomato___Bacterial_spot,Baseline CNN,0.9104,0.7937,0.8481,320
Tomato___Early_blight,Baseline CNN,0.6269,0.28,0.3871,150
Tomato___Late_blight,Baseline CNN,0.8321,0.7944,0.8128,287
Tomato___Leaf_Mold,Baseline CNN,0.9091,0.5556,0.6897,144
Tomato___Septoria_leaf_spot,Baseline CNN,0.7732,0.779,0.7761,267
Tomato___Spider_mites Two-spotted_spider_mite,Baseline CNN,0.723,0.8492,0.781,252
Tomato___Target_Spot,Baseline CNN,0.7114,0.8255,0.7642,212
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Baseline CNN,0.887,0.9851,0.9335,805
Tomato___Tomato_mosaic_virus,Baseline CNN,0.8214,0.807,0.8142,57
Tomato___healthy,Baseline CNN,0.8981,0.9917,0.9426,240
Tomato___Bacterial_spot,DenseNet121,0.9135,0.7594,0.8294,320
Tomato___Early_blight,DenseNet121,0.7812,0.3333,0.4673,150
Tomato___Late_blight,DenseNet121,0.9386,0.7456,0.8311,287
Tomato___Leaf_Mold,DenseNet121,0.8909,0.6806,0.7717,144
Tomato___Septoria_leaf_spot,DenseNet121,0.6892,0.839,0.7568,267
Tomato___Spider_mites Two-spotted_spider_mite,DenseNet121,0.539,0.9325,0.6831,252
Tomato___Target_Spot,DenseNet121,0.5741,0.7123,0.6358,212
Tomato___Tomato_Yellow_Leaf_Curl_Virus,DenseNet121,0.9921,0.9416,0.9662,805
Tomato___Tomato_mosaic_virus,DenseNet121,0.9091,0.5263,0.6667,57
Tomato___healthy,DenseNet121,0.8163,0.8333,0.8247,240
Tomato___Bacterial_spot,EfficientNetB0,0.8958,0.8594,0.8772,320
Tomato___Early_blight,EfficientNetB0,0.8615,0.3733,0.5209,150
Tomato___Late_blight,EfficientNetB0,0.9206,0.8885,0.9043,287
Tomato___Leaf_Mold,EfficientNetB0,0.9394,0.6458,0.7654,144
Tomato___Septoria_leaf_spot,EfficientNetB0,0.7121,0.8614,0.7797,267
Tomato___Spider_mites Two-spotted_spider_mite,EfficientNetB0,0.8314,0.8413,0.8363,252
Tomato___Target_Spot,EfficientNetB0,0.6285,0.8538,0.724,212
Tomato___Tomato_Yellow_Leaf_Curl_Virus,EfficientNetB0,0.9774,0.9652,0.9712,805
Tomato___Tomato_mosaic_virus,EfficientNetB0,0.9184,0.7895,0.8491,57
Tomato___healthy,EfficientNetB0,0.8442,0.9708,0.9031,240
Tomato___Bacterial_spot,MobileNetV2,0.7728,0.925,0.8421,320
Tomato___Early_blight,MobileNetV2,0.9024,0.2467,0.3874,150
Tomato___Late_blight,MobileNetV2,0.8848,0.8293,0.8561,287
Tomato___Leaf_Mold,MobileNetV2,0.7438,0.8264,0.7829,144
Tomato___Septoria_leaf_spot,MobileNetV2,0.7778,0.7865,0.7821,267
Tomato___Spider_mites Two-spotted_spider_mite,MobileNetV2,0.8045,0.8492,0.8263,252
Tomato___Target_Spot,MobileNetV2,0.6756,0.717,0.6957,212
Tomato___Tomato_Yellow_Leaf_Curl_Virus,MobileNetV2,0.9666,0.9714,0.969,805
Tomato___Tomato_mosaic_virus,MobileNetV2,0.8286,0.5088,0.6304,57
Tomato___healthy,MobileNetV2,0.837,0.9625,0.8953,240
Tomato___Bacterial_spot,EfficientNetB0 + Class Weight,0.9286,0.6906,0.7921,320
Tomato___Early_blight,EfficientNetB0 + Class Weight,0.7798,0.5667,0.6564,150
Tomato___Late_blight,EfficientNetB0 + Class Weight,0.9476,0.8188,0.8785,287
Tomato___Leaf_Mold,EfficientNetB0 + Class Weight,0.8347,0.7014,0.7623,144
Tomato___Septoria_leaf_spot,EfficientNetB0 + Class Weight,0.6415,0.8577,0.734,267
Tomato___Spider_mites Two-spotted_spider_mite,EfficientNetB0 + Class Weight,0.7378,0.7817,0.7592,252
Tomato___Target_Spot,EfficientNetB0 + Class Weight,0.5455,0.8774,0.6727,212
Tomato___Tomato_Yellow_Leaf_Curl_Virus,EfficientNetB0 + Class Weight,0.9848,0.8857,0.9326,805
Tomato___Tomato_mosaic_virus,EfficientNetB0 + Class Weight,0.7143,0.9649,0.8209,57
Tomato___healthy,EfficientNetB0 + Class Weight,0.9048,0.95,0.9268,240
