Dataset,Model,Class,Precision,Recall,F1-score,Support
Taiwan External,Baseline CNN,Tomato___Bacterial_spot,1.0,0.0727,0.1356,110
Taiwan External,Baseline CNN,Tomato___Early_blight,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___Late_blight,0.3678,0.9082,0.5235,98
Taiwan External,Baseline CNN,Tomato___Leaf_Mold,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___Septoria_leaf_spot,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___Target_Spot,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,0
Taiwan External,Baseline CNN,Tomato___healthy,0.0,0.0,0.0,106
Taiwan External,DenseNet121,Tomato___Bacterial_spot,0.75,0.0545,0.1017,110
Taiwan External,DenseNet121,Tomato___Early_blight,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___Late_blight,0.3728,0.8673,0.5215,98
Taiwan External,DenseNet121,Tomato___Leaf_Mold,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___Septoria_leaf_spot,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___Target_Spot,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,0
Taiwan External,DenseNet121,Tomato___healthy,0.0,0.0,0.0,106
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Bacterial_spot,0.5,0.0091,0.0179,110
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Early_blight,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Late_blight,0.4586,0.7347,0.5647,98
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Leaf_Mold,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Septoria_leaf_spot,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Target_Spot,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0 + Class Weight,Tomato___healthy,0.0,0.0,0.0,106
Taiwan External,EfficientNetB0,Tomato___Bacterial_spot,0.5,0.0091,0.0179,110
Taiwan External,EfficientNetB0,Tomato___Early_blight,0.0,0.0,0.0,0
Taiwan External,EfficientNetB0,Tomato___Late_blight,0.3679,0.7959,0.5032,98
Taiwan External,EfficientNetB0,Tomato___Leaf_Mold,0.0,0.0,0.0,0
